Tematicas,Barrio,Nombre,subtemas,FechaInicio,HoraInicio,FechaFin,HoraFin,tipos,perfiles,ficha
[],Urbanizaciones,"Alcobendas en forma, deporte al aire libre","['Servicios Deportes', 'Mayores', 'Otros Salud']",2016-09-26,,2025-12-30,,"['Deporte', 'Mayores']",['Público general'],https://www.alcobendas.org:443/es/cargarFichaAgenda.do?identificador=2990
"['El Público', 'Abono Alternativo']",Centro,"Andanzas y entremeses, de Juan Rana","['Teatro, Música y Danza']",2020-04-18,20:00,2020-04-18,,['Cultura'],"['Infancia y Adolescencia', 'Público general']",https://www.alcobendas.org:443/es/cargarFichaAgenda.do?identificador=3022
"['El Público', 'Abono Alternativo']",Centro,Antonio Lizana,"['Teatro, Música y Danza']",2020-05-30,20:00,2020-05-30,,['Cultura'],"['Infancia y Adolescencia', 'Público general']",https://www.alcobendas.org:443/es/cargarFichaAgenda.do?identificador=3025
['Aventurarte y el Juguetón'],,"Aventurarte, ocio para jóvenes de 10 a 14 años","['Otros Cultura y Ocio', 'Infancia']",2019-09-28,18:00,2020-06-30,20:00,['Infancia'],['Infancia y Adolescencia'],https://www.alcobendas.org:443/es/cargarFichaAgenda.do?identificador=2327
"['El Público', 'Abono General']",Centro,Cécile McLorin Salvant & Sullivan Fortner,"['Teatro, Música y Danza']",2020-05-10,19:00,2020-05-10,,['Cultura'],"['Infancia y Adolescencia', 'Público general']",https://www.alcobendas.org:443/es/cargarFichaAgenda.do?identificador=3011
"['El Público', 'Abono General']",Centro,Cinco horas con Mario (Miguel Delibes),"['Teatro, Música y Danza']",2020-04-17,20:00,2020-04-17,,['Cultura'],"['Infancia y Adolescencia', 'Público general']",https://www.alcobendas.org:443/es/cargarFichaAgenda.do?identificador=3009
['Actividades en las mediatecas'],Norte,Club de lectura matinal en Mediateca Miguel Delibes,['Literatura e Historia'],2020-03-25,11:00,2020-05-27,12:30,['Cultura'],['Adultos'],https://www.alcobendas.org:443/es/cargarFichaAgenda.do?identificador=1227
['Actividades en las mediatecas'],Centro,Club de lectura Mediateca Centro de Arte,['Literatura e Historia'],2020-03-03,19:00,2020-05-26,20:30,['Cultura'],['Adultos'],https://www.alcobendas.org:443/es/cargarFichaAgenda.do?identificador=1549
['Actividades en las mediatecas'],Centro,Club de lectura Mediateca Pablo Iglesias,['Literatura e Historia'],2020-04-01,19:00,2020-05-27,20:30,['Cultura'],['Adultos'],https://www.alcobendas.org:443/es/cargarFichaAgenda.do?identificador=2229
['Actividades en las mediatecas'],Centro,Club Manga,['Otros Cultura y Ocio'],2020-02-27,18:00,2020-05-21,,['Cultura'],['Jóvenes'],https://www.alcobendas.org:443/es/cargarFichaAgenda.do?identificador=2567
