,description,location,m2,price,province,times,title
0,"Camino de El Pinillo.  - ático espectacular! Un inmueble de lujo con unas vistas impresionantes - Si algo define este piso es su ampitud,  esa sensación unica de libertad que enamora a primera vista.  Situado en una de las mejores zonas de Torremolinos,  en una urbanizacion privada de lujo y con todos los servcios a mano - Consta de 3 dormitorios amplios - Cocina independienta - Enorme Salón - 2 baños completos - 2 terrazas con mas de 100 mts - Jacuzzi particular - Garaje - Trastero - Solicite mas informaciones,  estaremos encantados de atenderle - Inmobiliaria Pluricasa. 5ª Planta. Ascensor. Garaje. Amueblado. Trastero. Terraza. Calefacción. Piscina. Jardín. CE: G",- Venta de áticos en Torremolinos (MALAGA),200 ,499000,MALAGA ,13023,ALTOS DEL TORIL - REF:  PL493
1," 19076-CS02.  ático en el  Grao de Castellón.  ático con espectaculares vistas del puerto de Castellón.  
La vivienda dispone de 100m2 distribuidos en 80m2 de vivienda y una terraza de  128m2.  .  
Está distribuida en salón-comedor,  cocina,  2 baños,  y 3 dormitorios. 
Dispone de plaza de garaje comunitaria.  Con aire acondicionado y calefaccion por conductos.  
Zona con todo tipo de servicios,  cerca del Pinar de Grao y el Campo de Golf Club de tenis,  así como el aeródromo.  A 2 minutos del Grao,  5 minutos de Castellón y 10 minutos de Benicassim.  Junto a todos los servicios como supermercados,  farmacia,  centros de salud,  etc.  
No incluidos honorarios comerciales,  ni gastos de compra-venta. 5ª Planta. Ascensor. Garaje. Terraza. Calefacción. CE: G",- Venta de áticos en Castellón De La Plana (CASTELLON),100 ,200000,CASTELLON ,7486,GRAO CASTELLON PINAR
2,"ático de 2 dormitorios Vélez Málaga.  - .  Precioso ático de 2 dormitorios Vélez Málaga. 
Situado en la zona de El Romeral. 
Compuesto por amplio salón comedor. 
Terraza de 25m2 acristalada. 
Cocina independiente amueblada con electrodomésticos,  cuenta con lavadero. 
2 dormitorios dobles con armarios empotrados.   
1 Baño completo. 
Dispone de plaza de garaje incluido en el precio.  
En perfecto estado de conservación.  
Tiene casi 4mts de altura los techos. 
Recinto cerrado con piscina. 
Muy luminoso,  Orientación Sur.  
Venga a verlo sin compromiso.  
LLáMENOS 9. 5. 2. 5. 5. 8. 3. 9. 8 - 6. 2. 2. 6. 8. 7. 0. 8. 0. 

En cumplimiento del Decreto 218/ 2005,  de 11 de octubre,  por el que se aprueba el Reglamento de Información al Consumidor en la compraventa y arrendamiento de viviendas en Andalucía,  se informa al cliente que los gastos notariales,  registrales e impuestos que le sean de aplicación (ITP ó IVA + AJD) y otros gastos inherentes a la compraventa no están incluidos en el precio. 4ª Planta. Ascensor. Garaje. Terraza. Piscina. Jardín. CE: G",- Venta de áticos en Velez Málaga (MALAGA),80 ,134900,MALAGA ,28817,PRECIOSO ÁTICO DE 2 DORMITORIOS VÉLEZ
3,"Se alquiler con opción a compra atico en plaza de toros 

¿te gusta pasar buenos momentos en tu terraza ?

pues aquí tienes tu piso ideal y no tiene una terraza,  tiene dos. 

te cuento,  es un piso de nueva construcción tan solo tiene 15 años. 
 se encuentra en la séptima planta del edificio,  con ascensor y posibilidad de adquirir dos plazas de garaje (precio aparte) y se acepta alquiler con opción a compra. 
 
la distribución es en forma de l,  dejando la cocina y el salón al lado contrario de las habitaciones.  el salón es de 20 metros,  espacio para una mesa de 8 sillas y salida a la terraza.  justo enfrente esta la cocina,  de buen tamaño con una ventana,  a la terraza,  donde está la salida del salón a la terraza. 

la joya de la corona,  eso es la terraza.  te gusta pasar buenos momentos,  pues aquí tienes espacio para hacer de cada rincón un lugar diferente. 

la terraza tiene 125 m2,  distribuida en u teniendo todas las orientaciones,  quieres sol,  quieres sobra,  airecito,  aquí lo tienes.  puedes poner una barbacoa,  unas mesas,  piscina (desmontable),  hacer cenas con los amigos,  viendo los fuegos. 
 claro porque no hemos hablado de las vistas,  ya has visto las fotos,  se ve todo alicante,  y como no,  nuestro castillo de santa bárbara,  y detrás el de san fernando.  se llega a ver el mar,  san juan,  las montañas (maimo,  aitana).  subiendo por una escalera de caracol,  tenemos la otra terraza (solarium),  con 70 metros diáfanos.  teniendo mejores vistas y todo ese espacio para hacerlo que quieras. 

nos quedan las habitaciones,  son 3,  dos dobles y una simple.  la principal con baño en suite,  y armario empotrado.  la simple es una habitación muy espaciosa con su correspondiente armario,  la doble te caben dos camas y tiene varias distribuciones,  todas las habitaciones dan a la terraza y la principal tiene salida a la misma. 

el entorno es ideal,  justo en la puerta tienes un pequeño jardín,  con unas escaleras que dan acceso al monte tosal y las pistas de futbol,  atletismo,  el campo de futbol (rico pérez).  a tan solo una manzana tienes un mercadona,  y un montón de servicios,  cervecerías,  restaurantes,  tiendas,  supermercados,  etc.  está muy bien conectado con muchas paradas de bus que te conectan con el centro,  la playa,  san vicente,  la universidad,  etc

y todo esto a un paso de plaza de toros y el centro de alicante,  no te demores más,  llámame y pide una cita. 7ª Planta. Ascensor. Garaje. Terraza. CE: G",- Venta de áticos en Alicante/alacant (ALICANTE),290 ,205000,ALICANTE ,17656,CAMPOAMOR-PLAZA DE TOROS - AV. / ALCOY
4, atico duplex.  vpo. 7ª Planta. Ascensor. Garaje. Amueblado. CE: G,- Venta de áticos en Sevilla (SEVILLA),88 ,118000,SEVILLA ,4630,SEVILLA ESTE
5," Ref: 1p675.  piso de 3 dormitorios,  salón,  cocina equipada,  baño,  calefacción individual de gas ciudad.  exterior.  zona tranquila,  buena comunicación.  vistas a la montaña calefacción.  electrodomésticos.  horno.  lavadora.  vistas a la montaña.  cocina equipada. 3ª Planta. Calefacción. CE: G",- Venta de áticos en Camargo (CANTABRIA),70 ,67000,CANTABRIA ,1416,CAMARGO
6,"Camino de El Pinillo.  - ático espectacular! Un inmueble de lujo con unas vistas impresionantes - Si algo define este piso es su ampitud,  esa sensación unica de libertad que enamora a primera vista.  Situado en una de las mejores zonas de Torremolinos,  en una urbanizacion privada de lujo y con todos los servcios a mano - Consta de 3 dormitorios amplios - Cocina independienta - Enorme Salón - 2 baños completos - 2 terrazas con mas de 100 mts - Jacuzzi particular - Garaje - Trastero - Solicite mas informaciones,  estaremos encantados de atenderle - Inmobiliaria Pluricasa. 5ª Planta. Ascensor. Garaje. Amueblado. Trastero. Terraza. Calefacción. Piscina. Jardín. CE: G",- Venta de áticos en Torremolinos (MALAGA),200 ,499000,MALAGA ,13025,ALTOS DEL TORIL - REF:  PL493
7," 19076-CS02.  ático en el  Grao de Castellón.  ático con espectaculares vistas del puerto de Castellón.  
La vivienda dispone de 100m2 distribuidos en 80m2 de vivienda y una terraza de  128m2.  .  
Está distribuida en salón-comedor,  cocina,  2 baños,  y 3 dormitorios. 
Dispone de plaza de garaje comunitaria.  Con aire acondicionado y calefaccion por conductos.  
Zona con todo tipo de servicios,  cerca del Pinar de Grao y el Campo de Golf Club de tenis,  así como el aeródromo.  A 2 minutos del Grao,  5 minutos de Castellón y 10 minutos de Benicassim.  Junto a todos los servicios como supermercados,  farmacia,  centros de salud,  etc.  
No incluidos honorarios comerciales,  ni gastos de compra-venta. 5ª Planta. Ascensor. Garaje. Terraza. Calefacción. CE: G",- Venta de áticos en Castellón De La Plana (CASTELLON),100 ,200000,CASTELLON ,7488,GRAO CASTELLON PINAR
8,"ático de 2 dormitorios Vélez Málaga.  - .  Precioso ático de 2 dormitorios Vélez Málaga. 
Situado en la zona de El Romeral. 
Compuesto por amplio salón comedor. 
Terraza de 25m2 acristalada. 
Cocina independiente amueblada con electrodomésticos,  cuenta con lavadero. 
2 dormitorios dobles con armarios empotrados.   
1 Baño completo. 
Dispone de plaza de garaje incluido en el precio.  
En perfecto estado de conservación.  
Tiene casi 4mts de altura los techos. 
Recinto cerrado con piscina. 
Muy luminoso,  Orientación Sur.  
Venga a verlo sin compromiso.  
LLáMENOS 9. 5. 2. 5. 5. 8. 3. 9. 8 - 6. 2. 2. 6. 8. 7. 0. 8. 0. 

En cumplimiento del Decreto 218/ 2005,  de 11 de octubre,  por el que se aprueba el Reglamento de Información al Consumidor en la compraventa y arrendamiento de viviendas en Andalucía,  se informa al cliente que los gastos notariales,  registrales e impuestos que le sean de aplicación (ITP ó IVA + AJD) y otros gastos inherentes a la compraventa no están incluidos en el precio. 4ª Planta. Ascensor. Garaje. Terraza. Piscina. Jardín. CE: G",- Venta de áticos en Velez Málaga (MALAGA),80 ,134900,MALAGA ,28819,PRECIOSO ÁTICO DE 2 DORMITORIOS VÉLEZ
9,"Se alquiler con opción a compra atico en plaza de toros 

¿te gusta pasar buenos momentos en tu terraza ?

pues aquí tienes tu piso ideal y no tiene una terraza,  tiene dos. 

te cuento,  es un piso de nueva construcción tan solo tiene 15 años. 
 se encuentra en la séptima planta del edificio,  con ascensor y posibilidad de adquirir dos plazas de garaje (precio aparte) y se acepta alquiler con opción a compra. 
 
la distribución es en forma de l,  dejando la cocina y el salón al lado contrario de las habitaciones.  el salón es de 20 metros,  espacio para una mesa de 8 sillas y salida a la terraza.  justo enfrente esta la cocina,  de buen tamaño con una ventana,  a la terraza,  donde está la salida del salón a la terraza. 

la joya de la corona,  eso es la terraza.  te gusta pasar buenos momentos,  pues aquí tienes espacio para hacer de cada rincón un lugar diferente. 

la terraza tiene 125 m2,  distribuida en u teniendo todas las orientaciones,  quieres sol,  quieres sobra,  airecito,  aquí lo tienes.  puedes poner una barbacoa,  unas mesas,  piscina (desmontable),  hacer cenas con los amigos,  viendo los fuegos. 
 claro porque no hemos hablado de las vistas,  ya has visto las fotos,  se ve todo alicante,  y como no,  nuestro castillo de santa bárbara,  y detrás el de san fernando.  se llega a ver el mar,  san juan,  las montañas (maimo,  aitana).  subiendo por una escalera de caracol,  tenemos la otra terraza (solarium),  con 70 metros diáfanos.  teniendo mejores vistas y todo ese espacio para hacerlo que quieras. 

nos quedan las habitaciones,  son 3,  dos dobles y una simple.  la principal con baño en suite,  y armario empotrado.  la simple es una habitación muy espaciosa con su correspondiente armario,  la doble te caben dos camas y tiene varias distribuciones,  todas las habitaciones dan a la terraza y la principal tiene salida a la misma. 

el entorno es ideal,  justo en la puerta tienes un pequeño jardín,  con unas escaleras que dan acceso al monte tosal y las pistas de futbol,  atletismo,  el campo de futbol (rico pérez).  a tan solo una manzana tienes un mercadona,  y un montón de servicios,  cervecerías,  restaurantes,  tiendas,  supermercados,  etc.  está muy bien conectado con muchas paradas de bus que te conectan con el centro,  la playa,  san vicente,  la universidad,  etc

y todo esto a un paso de plaza de toros y el centro de alicante,  no te demores más,  llámame y pide una cita. 7ª Planta. Ascensor. Garaje. Terraza. CE: G",- Venta de áticos en Alicante/alacant (ALICANTE),290 ,205000,ALICANTE ,17658,CAMPOAMOR-PLAZA DE TOROS - AV. / ALCOY
