,index,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,distance,hasVideo,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,district,neighborhood,newDevelopmentFinished
0,0,40212712,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/22/22/08/647677575.jpg,203-6879073,8,bj,8700.0,flat,sale,92.0,False,1,1,Calle Huerta Abajo,Toledo,Camarena,es,40.0900034,-4.1156673,False,https://www.idealista.com/inmueble/40212712/,50441,False,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",95.0,{'typology': 'flat'},"{'subtitle': 'Camarena', 'title': 'Piso en Calle Huerta Abajo'}",False,False,False,,,
1,1,84842459,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5f/33/50/762116923.jpg,203-6875031,8,2,41600.0,flat,sale,90.0,False,3,2,Calle Caminillo,Toledo,Magán,es,39.9632616,-3.9316767,False,https://www.idealista.com/inmueble/84842459/,54022,False,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",462.0,{'typology': 'flat'},"{'subtitle': 'Magán', 'title': 'Piso en Calle Caminillo'}",False,False,False,,,
2,2,84335570,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e3/ff/09/647677719.jpg,203-6879264,5,bj,12800.0,flat,sale,116.0,False,2,2,Travesía Huerta Abajo,Toledo,Camarena,es,40.0903606,-4.1176983,False,https://www.idealista.com/inmueble/84335570/,50532,False,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",110.0,{'typology': 'flat'},"{'subtitle': 'Camarena', 'title': 'Piso en Travesía Huerta Abajo'}",False,False,False,,,
3,3,87702312,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/10/5b/45/728874351.jpg,5939450,3,,70468.0,chalet,sale,88.0,False,4,1,"Calle de San Juan, 34",Madrid,Carabaña,es,40.2565044,-3.2388821,True,https://www.idealista.com/inmueble/87702312/,43200,False,,False,,,801.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}","{'subtitle': 'Carabaña', 'title': 'Chalet adosado en Calle de San Juan, 34'}",False,False,False,,,
4,4,38625261,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3a/36/a6/647599563.jpg,203-5939450,3,,70468.0,chalet,sale,34.0,False,4,1,Calle de san juan,Madrid,Carabaña,es,40.2549044,-3.2370821,False,https://www.idealista.com/inmueble/38625261/,43413,False,good,False,,,2073.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Carabaña', 'title': 'Casa independiente en Calle de san juan'}",False,False,False,,,
5,5,86158463,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2d/4c/0e/685194236.jpg,343-60490851,12,,52020.0,flat,sale,68.0,False,1,1,Calle Constitución,Madrid,Valdilecha,es,40.2916746,-3.3007479,False,https://www.idealista.com/inmueble/86158463/,36829,False,good,False,False,,765.0,{'typology': 'flat'},"{'subtitle': 'Valdilecha', 'title': 'Piso en Calle Constitución'}",False,False,False,,,
6,6,86176752,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1b/a1/77/685601602.jpg,343-60484236,4,,111490.0,chalet,sale,284.0,False,3,1,Plaza Gutierre de Cárdenas,Toledo,Ocaña,es,39.9579359,-3.4992758,False,https://www.idealista.com/inmueble/86176752/,53871,False,good,False,,,393.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Centro, Ocaña', 'title': 'Casa independiente en Plaza Gutierre de Cárdenas'}",True,False,False,Centro,,
7,7,82979256,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d4/ab/9c/714516512.jpg,60484236,14,,111490.0,chalet,sale,284.0,False,3,2,"Plaza Gutierre de Cárdenas, 3",Toledo,Ocaña,es,39.9598359,-3.4980758,True,https://www.idealista.com/inmueble/82979256/,53704,False,good,False,,,393.0,{'typology': 'chalet'},"{'subtitle': 'Centro, Ocaña', 'title': 'Chalet en Plaza Gutierre de Cárdenas, 3'}",False,False,False,Centro,,
8,8,86159560,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d4/34/03/685202511.jpg,343-60504473,12,,59500.0,duplex,sale,113.0,False,1,1,Calle Constitución,Madrid,Valdilecha,es,40.2902746,-3.3003479,False,https://www.idealista.com/inmueble/86159560/,36920,False,good,False,False,,527.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Valdilecha', 'title': 'Dúplex en Calle Constitución'}",False,False,False,,,
9,9,88721621,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/23/69/fd/755677892.jpg,54775,40,bj,100000.0,flat,sale,70.0,True,2,2,Calle Antonio Ulloa,Madrid,Madrid,es,40.4106417,-3.7322764,False,https://www.idealista.com/inmueble/88721621/,2547,False,renew,False,True,,1429.0,{'typology': 'flat'},"{'subtitle': 'Puerta del Ángel, Madrid', 'title': 'Piso en Calle Antonio Ulloa'}",False,False,False,Latina,Puerta del Ángel,
10,10,85980180,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/65/b6/680107526.jpg,001985,158,bj,5000000.0,chalet,sale,2700.0,False,14,5,Calle Diecinueve,Madrid,El Escorial,es,40.5937724,-4.0554918,False,https://www.idealista.com/inmueble/85980180/,35699,False,good,False,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",1852.0,{'typology': 'chalet'},"{'subtitle': 'Navalquejigo - Los Arroyos, El Escorial', 'title': 'Chalet en Calle Diecinueve'}",False,False,False,Navalquejigo - Los Arroyos,,
11,11,31696455,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a9/0e/7c/684608602.jpg,60470253,1,,15895.0,flat,sale,77.0,False,3,2,"Calle Juan Fernández Yagüe, 52",Ávila,Las Navas del Marqués,es,40.6039377,-4.3295099,True,https://www.idealista.com/inmueble/31696455/,56887,False,,False,False,,206.0,{'typology': 'flat'},"{'subtitle': 'Las Navas del Marqués', 'title': 'Piso en Calle Juan Fernández Yagüe, 52'}",False,False,False,,,
12,12,86176430,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/75/66/60/685596238.jpg,343-60470253,1,,15895.0,flat,sale,77.0,False,1,1,Calle Juan Fernández Yagüe,Ávila,Las Navas del Marqués,es,40.6059377,-4.3297099,False,https://www.idealista.com/inmueble/86176430/,56984,False,good,False,False,,206.0,{'typology': 'flat'},"{'subtitle': 'Las Navas del Marqués', 'title': 'Piso en Calle Juan Fernández Yagüe'}",False,False,False,,,
13,13,85499021,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fa/34/b9/664104034.jpg,117750K,6,bj,67000.0,chalet,sale,109.0,False,3,3,"Calle Pontevedra, 256",Madrid,Villa del Prado,es,40.2667942,-4.3458624,True,https://www.idealista.com/inmueble/85499021/,56953,False,good,False,,,615.0,{'typology': 'chalet'},"{'subtitle': 'Villa del Prado', 'title': 'Chalet en Calle Pontevedra, 256'}",False,False,False,,,
14,14,85536571,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/05/45/31/697288577.jpg,210-117750K,6,,67000.0,chalet,sale,109.0,False,3,1,Calle Pontevedra,Madrid,Villa del Prado,es,40.2660942,-4.3447624,False,https://www.idealista.com/inmueble/85536571/,56887,False,good,False,,,615.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Villa del Prado', 'title': 'Casa independiente en Calle Pontevedra'}",False,False,False,,,
15,15,86970883,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/36/b4/c7/707412846.jpg,,11,1,81000.0,duplex,sale,78.0,True,2,1,"remolino, 27",Madrid,El Molar,es,40.7323763,-3.5811308,True,https://www.idealista.com/inmueble/86970883/,36583,False,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",1038.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'El Molar', 'title': 'Dúplex en remolino, 27'}",False,False,False,,,
16,16,84827363,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/80/d8/d5/684292973.jpg,60492567,3,1,22801.0,flat,sale,81.0,True,1,1,"Calle Silvano Cirujano, 2",Toledo,Magán,es,39.9615934,-3.9293113,True,https://www.idealista.com/inmueble/84827363/,54123,False,good,False,True,,281.0,{'typology': 'flat'},"{'subtitle': 'Magán', 'title': 'Piso en Calle Silvano Cirujano, 2'}",False,False,False,,,
17,17,37425196,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/66/b3/d5/684594196.jpg,60488136,1,,36890.0,chalet,sale,95.0,False,2,1,"Calle la Fragua, 20",Madrid,Valdemaqueda,es,40.5126083,-4.3000991,True,https://www.idealista.com/inmueble/37425196/,51603,False,renew,False,,,388.0,{'typology': 'chalet'},"{'subtitle': 'Valdemaqueda', 'title': 'Chalet en Calle la Fragua, 20'}",False,False,False,,,
18,18,39561770,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/24/d3/ee/684566501.jpg,60471021,2,,31400.0,chalet,sale,50.0,False,3,1,"Plaza la Plazuela, 16",Madrid,Villalbilla,es,40.4333122,-3.3015837,True,https://www.idealista.com/inmueble/39561770/,34048,False,,False,,,628.0,{'typology': 'chalet'},"{'subtitle': 'Villalbilla', 'title': 'Chalet en Plaza la Plazuela, 16'}",False,False,False,,,
19,19,81135088,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/62/f5/03/647598330.jpg,203-5937080,5,bj,50430.0,flat,sale,55.0,False,2,1,Calle San José,Madrid,Ciempozuelos,es,40.1550799,-3.61802,False,https://www.idealista.com/inmueble/81135088/,29974,False,good,False,False,,917.0,{'typology': 'flat'},"{'subtitle': 'Cuevas - Ilustración, Ciempozuelos', 'title': 'Piso en Calle San José'}",False,False,False,Cuevas - Ilustración,,
20,20,86158670,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0d/f3/1a/685195474.jpg,343-60492567,3,1,22801.0,flat,sale,81.0,False,1,1,Calle Silvano Cirujano,Toledo,Magán,es,39.9610114,-3.9308156,False,https://www.idealista.com/inmueble/86158670/,54229,False,good,False,True,,281.0,{'typology': 'flat'},"{'subtitle': 'Magán', 'title': 'Piso en Calle Silvano Cirujano'}",False,False,False,,,
21,21,86156065,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fd/d0/00/685173549.jpg,343-60471021,2,,31400.0,chalet,sale,50.0,False,3,1,Plaza la Plazuela,Madrid,Villalbilla,es,40.4336122,-3.3006837,False,https://www.idealista.com/inmueble/86156065/,34126,False,good,False,,,628.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Villalbilla', 'title': 'Casa independiente en Plaza la Plazuela'}",False,False,False,,,
22,22,86176851,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4e/be/07/685603701.jpg,343-60488136,1,,36890.0,chalet,sale,95.0,False,2,1,Calle la Fragua,Madrid,Valdemaqueda,es,40.5144083,-4.3019991,False,https://www.idealista.com/inmueble/86176851/,51801,False,good,False,,,388.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Valdemaqueda', 'title': 'Casa independiente en Calle la Fragua'}",False,False,False,,,
