,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),,,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),,,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),
1,Revista Matematica Iberoamericana,journal,1.836 ,42,52,156,1383,213,154,1.60,26.60,
2,International Journal of Clinical and Health Psychology,journal,1.677 ,36,30,90,1249,352,90,3.42,41.63,
3,European Journal of Anaesthesiology,journal,1.287 ,69,180,551,4063,1069,290,3.62,22.57,
4,Cybermetrics,journal,1.273 ,13,0,1,0,1,1,0.00,0.00,
5,SORT,journal,1.237 ,16,5,49,158,82,48,1.22,31.60,
6,European Journal of Psychology Applied to Legal Context,journal,1.213 ,15,10,32,681,128,32,4.09,68.10,
7,Revista de Investigacion Educativa,journal,0.947 ,10,31,93,1267,116,89,1.02,40.87,
8,Revista de Psicodidactica,journal,0.928 ,20,21,70,853,151,70,1.66,40.62,
9,AIDS Reviews,journal,0.893 ,52,37,91,1335,169,78,1.76,36.08,
10,Publicacions Matematiques,journal,0.875 ,23,23,89,563,60,89,1.04,24.48,
11,Comunicar,journal,0.851 ,26,40,120,1666,332,120,2.66,41.65,
12,Ardeola,journal,0.846 ,24,18,75,786,122,72,2.00,43.67,
13,Journal of Optometry,journal,0.830 ,19,50,115,1430,190,110,1.45,28.60,
14,Materiales de Construccion,journal,0.821 ,24,33,107,1463,208,100,2.15,44.33,
15,Cuadernos de Investigacion Geografica,journal,0.790 ,15,48,81,3389,231,78,2.28,70.60,
16,Journal of Investigational Allergology and Clinical Immunology,journal,0.784 ,55,109,305,2481,504,145,4.06,22.76,
17,Adicciones,journal,0.770 ,23,37,96,1310,195,75,3.08,35.41,
18,International Journal of Gynecological Cancer,journal,0.760 ,79,260,829,5821,1509,767,1.86,22.39,
19,International Journal of Developmental Biology,journal,0.743 ,93,94,184,6956,252,178,1.05,74.00,
20,Histology and Histopathology,journal,0.663 ,86,129,383,6622,675,381,1.74,51.33,
21,Psicothema,journal,0.641 ,47,66,214,2494,384,214,1.73,37.79,
22,Psychosocial Intervention,journal,0.639 ,15,18,67,1241,162,67,2.51,68.94,
23,Gaceta Sanitaria,journal,0.637 ,36,196,367,3704,430,289,1.34,18.90,
24,"Medicina Oral, Patologia Oral y Cirugia Bucal",journal,0.623 ,47,108,330,2656,533,327,1.47,24.59,
25,Educacion XX1,journal,0.611 ,13,53,101,2271,150,100,1.42,42.85,
26,Estudios Sobre Educacion,journal,0.601 ,9,25,57,1181,42,56,0.83,47.24,
27,Profesional de la Informacion,journal,0.601 ,22,122,298,4452,411,298,1.33,36.49,
28,IEEE International Conference on Intelligent Robots and Systems,conference and proceedings,0.589,99,1075,2683,25386,6088,2678,2.03,23.61,
29,Scientia Marina,journal,0.580 ,62,37,164,1711,199,157,1.17,46.24,
30,Revista Espanola de Cardiologia,journal,0.579 ,58,439,974,4800,1153,732,1.58,10.93,
31,Revista Iberoamericana de Psicologia del Ejercicio y el Deporte,journal,0.579 ,10,31,90,1382,128,90,1.35,44.58,
32,Revista Complutense de Educacion,journal,0.569 ,10,77,198,3042,147,197,0.61,39.51,
33,Revista Electronica de Investigacion y Evaluacion Educativa,journal,0.561 ,14,11,56,351,62,56,0.71,31.91,
34,Revista Espanola de Enfermedades Digestivas,journal,0.524 ,34,202,729,2149,569,352,1.54,10.64,
35,Pharmacy Practice,journal,0.518 ,19,50,127,1635,203,121,1.49,32.70,
36,Trabajos de Prehistoria,journal,0.511 ,17,21,61,1666,46,59,0.70,79.33,
37,Revista Latina de Comunicacion Social,journal,0.509 ,11,55,212,2195,159,212,0.67,39.91,
38,Revistade Psicologiadel Trabajo y de las Organizaciones,journal,0.508 ,11,23,66,1365,104,66,1.43,59.35,
39,Psicologia Educativa,journal,0.505 ,9,14,47,628,82,45,2.32,44.86,
40,Revista de la Sociedad Geologica de Espana,journal,0.502 ,3,8,31,515,24,30,0.80,64.38,
41,Revista Espanola de Derecho Constitucional,journal,0.501 ,5,32,113,797,43,80,0.54,24.91,
42,Journal of the International Association for Shell and Spatial Structures,journal,0.499 ,20,27,79,382,55,73,0.76,14.15,
43,Allergologia et Immunopathologia,journal,0.494 ,31,110,309,3200,402,263,1.43,29.09,
44,International Microbiology,journal,0.472 ,59,22,98,1441,105,86,1.20,65.50,
45,Neurologia,journal,0.470 ,31,186,498,3360,381,200,1.74,18.06,
46,Revista Espanola de Investigaciones Sociologicas,journal,0.469 ,13,32,103,1441,86,93,0.89,45.03,
47,Journal of Clinical and Experimental Dentistry,journal,0.465 ,15,187,486,4665,613,486,1.18,24.95,
48,"Psychology, Society and Education",journal,0.459 ,6,16,89,658,85,89,0.31,41.13,
